ID,NAME,HEIGHT,WEIGHT,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
4118,Bennie Swain,8-Jun,220lb,58,,12.2,1.7,4.2,0.406,,,,1.7,4.2,0.406,0.406,1.2,1.9,0.609,,,4.5,0.5,,,,2.2,4.6
4119,Norm Swanson,6-Jun,210lb,63,,9.7,0.5,2.2,0.226,,,,0.5,2.2,0.226,0.226,0.6,1,0.594,,,1.7,0.5,,,,1.4,1.6
4120,Dan Swartz,4-Jun,215lb,39,,8.6,1.5,3.8,0.38,,,,1.5,3.8,0.38,0.38,1.6,1.8,0.847,,,2.3,0.5,,,,2.4,4.5
4121,Mike Sweetney,8-Jun,275lb,233,73,15.5,2.4,5,0.485,0,0,0,2.4,5,0.485,0.485,1.7,2.4,0.689,1.7,2.8,4.5,0.6,0.3,0.5,1.2,2.4,6.5
4122,Robert Swift,Jul-00,245lb,97,34,15.5,1.8,3.5,0.506,0,0,,1.8,3.5,0.506,0.506,0.7,1.2,0.61,1.3,2.6,3.9,0.2,0.3,0.9,0.7,2.3,4.3
4123,Skeeter Swift,3-Jun,204lb,283,,24.2,4.3,9.7,0.445,0.5,1.5,0.298,3.8,8.1,0.473,0.469,2.5,3,0.841,0.5,1.7,2.2,2.9,0.2,0,2.5,3.2,11.6
4124,Stromile Swift,9-Jun,225lb,547,97,19.8,3.1,6.6,0.473,0,0,0.074,3.1,6.6,0.476,0.473,2.1,3,0.699,1.6,3,4.6,0.5,0.6,1.2,1.3,2.5,8.4
4125,Aaron Swinson,5-Jun,230lb,9,0,5.7,1.1,2,0.556,0,0,,1.1,2,0.556,0.556,0.4,0.6,0.8,0.3,0.6,0.9,0.3,0.1,0,0.6,0.9,2.7
4126,Pape Sy,7-Jun,225lb,3,0,7,0.7,2,0.333,0,0.3,0,0.7,1.7,0.4,0.333,1,1,1,0.7,0.3,1,0.7,0.3,0,1,0.3,2.3
4127,Buck Sydnor,10-May,175lb,15,,,0.3,1.7,0.192,,,,0.3,1.7,0.192,0.192,0.3,0.7,0.5,,,,0,,,,0.4,1
4128,Larry Sykes,9-Jun,255lb,1,0,2,0,0,,0,0,,0,0,,,0,0,,1,1,2,0,0,0,1,0,0
4129,Brett Szabo,11-Jun,230lb,70,24,9.5,0.8,1.7,0.446,0,0,0,0.8,1.7,0.45,0.446,0.6,0.9,0.738,0.8,1.6,2.4,0.2,0.2,0.5,0.6,1.7,2.2
4130,Wally Szczerbiak,7-Jun,244lb,651,393,30.8,5.4,11,0.485,0.9,2.2,0.406,4.4,8.8,0.505,0.526,2.5,2.9,0.86,1,3,4,2.4,0.6,0.2,1.5,2.1,14.1
4131,Walt Szczerbiak,6-Jun,210lb,53,,11.3,2.8,4.5,0.629,0,0,0,2.8,4.4,0.634,0.629,0.7,1,0.66,1.5,1.3,2.8,0.8,,,0.9,1.9,6.3
