ID,NAME,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
206,Corey Sanders,37,32.2,5.2,12.8,0.409,4.1,8.8,0.463,1.2,4,0.291,2.7,3.8,0.707,3.3,4.2,1.9,0.2,2.9,1.9,14.3
207,Da'Monn Sanders,78,,1.4,3.2,0.438,1.4,2.9,0.463,0.1,0.3,0.182,0.6,1.2,0.533,2.9,0.9,0.8,0.1,,,3.5
208,David Sanders,95,,3,6.1,0.497,2.3,4.1,0.548,0.8,1.9,0.389,2.9,4.1,0.715,3.7,2.5,1.1,0.3,,,9.7
209,Dedrick Sanders,54,,2.5,4.4,0.561,2.1,3.5,0.617,0.3,0.9,0.353,1.4,1.8,0.792,3.4,0.8,1,0.3,,,6.7
210,Frankie Sanders,27,,11.7,20.9,0.561,,,,,,,4,6,0.671,10.6,,,,,,27.4
211,Greg Sanders,25,,0.2,1,0.25,0.2,0.9,0.261,0,0,0,0.1,0.2,0.6,0.8,0.5,0.2,0,,,0.6
212,Hasson Sanders,24,,2.5,5.7,0.438,2.2,5,0.442,0.3,0.7,0.412,2.3,3.7,0.614,2.8,7.5,1.7,0.2,,,7.5
213,Jalen Sanders,8,3.3,0.4,1,0.375,0.3,0.6,0.4,0.1,0.4,0.333,0,0,,0.3,0.6,0,0,0.4,0.1,0.9
214,Jamarr Sanders,96,34.5,4,9.6,0.412,2.1,4.5,0.454,1.9,5.1,0.375,1.3,1.7,0.765,4.1,2,0.9,0.3,2,1.2,11.2
215,Jason Sanders,20,,0.4,1.4,0.286,0.4,1.3,0.308,0,0.1,0,1.1,1.9,0.568,1,0.6,0.2,0.1,,,1.9
216,Jeff Sanders,119,32.2,6.4,11.9,0.541,,,,,,,2.8,4,0.691,7.5,1.5,0.7,0.8,2.8,3,15.6
217,Jermaine Sanders,130,16.3,1.4,3.5,0.392,0.7,1.5,0.485,0.6,1.9,0.317,0.6,1,0.583,2.4,0.8,0.3,0.1,0.5,0.8,3.9
218,Jerry Sanders,29,,1.2,2.9,0.405,1.2,2.9,0.41,0,0,0,1,1.3,0.718,2.5,0.5,0.7,0.3,,,3.3
219,Jesse Sanders,127,33.3,3.1,6.6,0.462,2.7,5.3,0.504,0.4,1.4,0.297,3.2,4.3,0.748,6.4,5.7,1.2,0.1,2.7,1.8,9.7
220,John Sanders,16,8.3,0.5,1.2,0.421,0.3,0.8,0.417,0.2,0.4,0.429,0.1,0.1,1,0.6,0.4,0.2,0,0.5,1.1,1.3
221,John Caleb Sanders,132,25,3.5,8.3,0.416,2.1,4.5,0.468,1.4,3.8,0.356,2.2,2.9,0.747,2.7,2.5,0.6,0,1.9,2.1,10.5
222,Jonathan Sanders,114,,1.7,3.8,0.449,1.4,2.9,0.498,0.3,0.9,0.292,1.6,2.1,0.747,3.4,1.6,0.6,0.4,,,5.3
223,Karl Sanders,57,,2.6,6.2,0.415,2.1,4.5,0.471,0.4,1.7,0.263,2,2.6,0.757,2.1,3.3,1.1,0.1,,,7.6
224,Keaton Sanders,118,,0.8,1.9,0.425,0.7,1.6,0.457,0.1,0.3,0.242,0.6,1,0.545,2.5,0.2,0.4,0.1,,,2.2
225,Keenon Sanders,24,,1.2,3.5,0.337,0.7,1.6,0.447,0.5,1.9,0.244,0.6,1,0.6,0.9,0.3,0.4,0,,,3.4
226,Korey Sanders,28,18.2,1.9,4.5,0.429,1.9,4.4,0.439,0,0.1,0,0.6,1.5,0.372,5.2,0.4,0.4,0.8,0.6,2.9,4.4
