ID,NAME,HEIGHT,WEIGHT,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2332,Caris LeVert,7-Jun,203lb,1,0,9,0,3,0,0,1,0,0,2,0,0,0,0,,1,3,4,0,3,0,0,0,0
2333,Cliff Levingston,8-Jun,210lb,830,216,20.4,2.8,5.5,0.516,0,0,0.152,2.8,5.4,0.518,0.516,1.5,2.2,0.676,2.1,3.1,5.2,0.9,0.6,0.7,1,2.8,7.1
2334,Bobby Lewis,3-Jun,175lb,255,,16.9,2.2,5.8,0.381,,,,2.2,5.8,0.381,0.381,1.4,1.9,0.712,,,2.1,2.2,,,,2,5.8
2335,Cedric Lewis,10-Jun,235lb,3,0,1.3,0.7,1,0.667,0,0,,0.7,1,0.667,0.667,0,0,,0.7,0,0.7,0,0.3,0,0,0,1.3
2336,Freddie Lewis,2-Jun,195lb,95,,,3.3,10.7,0.312,,,,3.3,10.7,0.312,0.312,1.7,2.2,0.765,,,,1.4,,,,2.2,8.4
2337,Freddie Lewis,Jun-00,175lb,750,,33.2,5.7,13.3,0.432,0.4,1.4,0.28,5.4,12,0.448,0.446,4.2,5.1,0.817,1.4,2.1,3.7,4,1.5,0.1,2.6,2.8,16
2338,Grady Lewis,7-Jun,215lb,139,,,2,7.8,0.252,,,,2,7.8,0.252,0.252,1.5,2.5,0.595,,,,0.9,,,,3,5.4
2339,Martin Lewis,5-Jun,210lb,25,0,9.6,1.4,3,0.473,0.1,0.4,0.3,1.3,2.6,0.5,0.493,0.6,1.1,0.593,0.8,0.6,1.4,0.3,0.4,0.2,0.6,1.2,3.6
2340,Mike Lewis,8-Jun,225lb,337,,30,4.8,9.6,0.498,0,0,0,4.8,9.6,0.499,0.498,2.5,3.5,0.735,4.4,7.5,11.9,3,0,0,2.6,3.7,12.1
2341,Quincy Lewis,7-Jun,215lb,159,21,11.7,1.5,3.7,0.397,0.2,0.7,0.333,1.2,3,0.412,0.429,0.4,0.6,0.71,0.4,0.9,1.3,0.6,0.4,0.2,0.6,2.1,3.6
2342,Ralph Lewis,6-Jun,200lb,99,0,6.8,0.9,2.2,0.414,0,0,0.25,0.9,2.1,0.417,0.416,0.5,0.9,0.562,0.6,0.6,1.2,0.3,0.3,0.1,0.5,0.7,2.3
