ID,NAME,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
4250,Franklin Butts,84,,2,5.5,0.356,1.4,3,0.447,0.6,2.5,0.246,1.2,1.8,0.639,2.3,0.9,0.5,0.3,,,5.8
4251,Isaac Butts,116,23.8,3.1,5.2,0.603,3.1,5.2,0.603,0,0,,1,1.7,0.594,6.9,0.8,0.3,0.8,1.8,1.7,7.3
4252,Matt Butts,22,,0.8,1.7,0.447,0.6,1.2,0.538,0.1,0.5,0.25,0.4,0.8,0.444,1.7,0.2,0.3,0.3,,,2
4253,Patrick Butts,55,,4,9,0.447,2.2,4.3,0.511,1.8,4.7,0.388,2.4,3.3,0.737,2.3,3.2,1.2,0,,,12.3
4254,Wayne Butts,52,,2.9,6.3,0.46,2.2,4.5,0.492,0.7,1.7,0.378,1.4,2.1,0.701,3.5,2,0.5,0.2,,,7.9
4255,Dwight Buycks,68,26,2.9,6.4,0.443,2.1,4.2,0.486,0.8,2.2,0.36,1.2,1.7,0.687,3,2.8,1.1,0,2,1.6,7.7
4256,Andy Buzbee,112,,1.6,3.7,0.415,1.2,2.6,0.454,0.4,1.1,0.328,1,1.5,0.69,3.7,0.7,0.8,0.1,,,4.5
4257,Jason Buzzard,5,,0.4,1.8,0.222,0.4,1.8,0.222,0,0,,0.2,0.6,0.333,0.6,0,0.2,0.4,,,1
4258,Rudy Buzzard,8,,0,0.3,0,0,0.3,0,0,0,,0.6,1.3,0.5,0.3,0,0,0.1,,,0.6
4259,Alberto Buzzavo,12,,0.1,0.4,0.2,0,0.1,0,0.1,0.3,0.25,0.3,0.5,0.5,0.7,0.4,0,0,,,0.5
4260,Nigel Byam,37,13.6,2.1,4.1,0.503,2.1,4,0.514,0,0.1,0.2,0.9,1.5,0.611,3.3,0.5,0.4,1.1,1.3,0.2,5.1
4261,Marcus Byams,86,,0.6,1.5,0.413,0.6,1.5,0.408,0,0,1,0.6,1,0.614,2.4,0.3,0.4,0.1,,,1.8
4262,Tyreek Byard,27,,1.3,4.1,0.318,0.5,1.5,0.35,0.8,2.6,0.3,0.7,1.1,0.581,1.5,0.6,0.4,0.1,,,4
4263,Brandon Byars,16,,0.4,1.4,0.273,0.3,0.8,0.333,0.1,0.6,0.2,0.1,0.2,0.333,1.3,0.4,0.1,0.1,0.6,,0.9
4264,Derrick Byars,126,,3.9,8.5,0.463,2.4,4.5,0.521,1.6,4,0.397,1.5,2.2,0.698,3.7,2.2,0.9,0.2,,,11
4265,Michael Byars-Dawson,63,,4.8,11.8,0.409,3.3,7.9,0.423,1.5,3.9,0.381,3.3,4.7,0.714,3.6,2.1,1.8,0.3,,,14.5
4266,Mike Byars-Dawson,27,,1,2.3,0.413,0.7,1.8,0.396,0.3,0.6,0.467,0.3,0.6,0.471,1,0.7,0.3,0.1,,,2.5
4267,Andy Bybee,12,,0.3,0.7,0.375,0.2,0.3,0.5,0.1,0.3,0.25,0.3,0.4,0.8,0.3,0.2,0.1,0.1,,,0.9
4268,Charlie Byers,30,5.9,0.5,1.1,0.412,0.4,1,0.419,0,0.1,0.333,0.1,0.1,0.5,0.6,0.4,0.2,0,0.3,0.6,1
4269,Frank Byers,10,1.1,0.2,0.4,0.5,0.2,0.3,0.667,0,0.1,0,0,0.1,0,0.1,0,0.1,0,0,0.1,0.4
4270,Mike Byers,123,,3.4,8.4,0.406,2.1,4.7,0.456,1.3,3.8,0.345,1.4,2,0.706,3.6,3,1.6,0.3,,,9.6
4271,Tyjhai Byers,3,4.3,0.3,0.3,1,0.3,0.3,1,0,0,,0,0,,0.7,0,0.3,0.7,0.7,0.7,0.7
4272,Brad Byerson,13,,0.2,0.3,0.75,0.2,0.3,0.75,0,0,,0.1,0.7,0.111,0.8,0.2,0.1,0.1,,,0.5
4273,Dwayne Byfield,117,,3.3,8.4,0.395,1.5,3.6,0.406,1.8,4.7,0.386,1.4,1.7,0.802,2.9,1.6,1.2,0.1,,,9.8
4274,Corbin Byford,21,6.5,0.7,1.3,0.5,0.5,0.8,0.647,0.1,0.5,0.273,0.5,0.8,0.588,1.6,0.3,0.2,0.3,0.6,1.2,2
4275,Mark Byington,114,,3,7.8,0.385,0.8,2.1,0.401,2.2,5.7,0.38,1.4,1.8,0.773,2.4,2.1,1,0.2,,,9.5
4276,Luke Byler,6,,0,0.3,0,0,0.3,0,0,0,,0,0.3,0,0,0,0,0,,,0
4277,Maushae Byles,48,,2.8,6.5,0.432,2.1,4.5,0.463,0.7,2,0.365,1.6,2.3,0.703,2.8,1.5,0.7,0.1,,,7.9
4278,Bryan Bynes,115,20.9,1.6,4.9,0.328,1.1,3.2,0.353,0.5,1.7,0.283,1.3,1.7,0.725,2.1,1.6,0.7,0.1,1.1,1.6,4.9
4279,Andre Bynum,108,,2,4.6,0.42,1.4,2.9,0.479,0.6,1.8,0.325,1.1,1.5,0.71,2.4,2.9,1.3,0.2,,,5.5
4280,Darien Bynum,65,,1.6,3.4,0.463,1.6,3.3,0.476,0,0.1,0,0.8,1.2,0.645,2.3,0.3,0.3,0.2,,,3.9
4281,DeAndre Bynum,20,11.8,1,2.4,0.396,0.7,1.6,0.438,0.3,0.8,0.313,0.5,1.4,0.357,1.5,0.6,0.2,0.1,0.6,1.1,2.7
4282,DeAndre' Bynum,26,,0.8,3.2,0.244,0.6,2.3,0.271,0.2,0.9,0.174,0.8,1.7,0.5,1.9,0.6,0.3,0.1,0.8,,2.5
4283,Jeremy Bynum,110,28.7,3.7,9.1,0.404,1.6,3.8,0.421,2.1,5.3,0.392,1.1,1.4,0.741,3.1,1.2,0.5,0.2,1.3,1.2,10.5
4284,Omar Bynum,67,,1.7,3.5,0.496,1.7,3.2,0.516,0.1,0.3,0.286,1.1,1.9,0.571,3.9,0.6,0.5,0.4,,,4.7
4285,Tyree Bynum,60,9.9,0.7,1.9,0.365,0.3,0.8,0.435,0.4,1.2,0.319,0.1,0.2,0.636,0.7,0.3,0.2,0,0.3,0.4,1.9
4286,Will Bynum,101,21.8,3.1,8.1,0.385,1.9,4.2,0.453,1.2,3.9,0.31,2,2.7,0.739,2.1,2.1,0.9,0,,,9.4
4287,Will Bynum,57,30.4,3.6,8,0.452,3.5,7.3,0.475,0.1,0.7,0.205,2.6,4.1,0.624,3.8,2.3,2,0.4,2.2,0.9,9.9
4288,Anthony Byrd,116,,1.3,3.2,0.403,0.7,1.3,0.523,0.6,1.9,0.321,0.7,0.8,0.882,1.9,0.8,0.6,0.2,1.2,,3.9
4289,Brandon Byrd,10,,0.3,1.3,0.231,0.3,1.3,0.231,0,0,,0,0,,1,0.2,0.1,0,,,0.6
4290,Byron Byrd,20,4.5,0.7,2,0.325,0.5,1.4,0.357,0.2,0.6,0.25,0.2,0.2,0.75,1,0.2,0.2,0,0.2,0.2,1.6
4291,Clay Byrd,45,18.6,1.6,4.6,0.351,0.1,0.3,0.333,1.5,4.3,0.352,0.4,0.4,0.895,0.9,0.6,0.2,0.1,0.6,1.3,5.1
4292,D.J. Byrd,130,20.5,2.2,5.7,0.382,0.7,1.6,0.417,1.5,4.1,0.369,1,1.4,0.723,2.6,1.6,0.5,0.2,0.9,2.1,6.8
4293,George Byrd,106,,3.5,6.2,0.557,3.5,6.2,0.56,0,0,0.2,1.9,3.5,0.546,6.3,0.9,0.5,1.1,,,8.8
4294,Hiraman Byrd,44,,0.6,2.3,0.273,0.4,1.3,0.345,0.2,1,0.182,0.3,0.5,0.625,0.9,0.2,0.2,0,,,1.8
4295,Howard Byrd,61,,0.4,1.6,0.232,0.2,0.9,0.269,0.1,0.7,0.186,0.6,0.8,0.72,0.8,0.8,0.4,0,,,0.8
4296,Jarell Byrd,58,13.8,1.1,2.8,0.4,0.8,1.8,0.466,0.3,1.1,0.29,0.6,0.9,0.685,2.3,0.8,0.3,0.3,0.8,1,3.2
4297,Jeremy Byrd,27,,2.7,6.4,0.428,2,3.6,0.552,0.8,2.9,0.273,2.2,3.3,0.667,2.5,2.9,2.8,0.3,,,8.5
4298,Jesse Byrd,76,,1.2,2.5,0.489,1.2,2.5,0.489,0,0,,0.8,1.2,0.659,3.6,0.4,0.4,0.1,0.9,,3.2
4299,Joemi Byrd,40,,1.1,3.4,0.319,0.6,1.6,0.391,0.5,1.8,0.254,0.8,1.3,0.647,0.8,0.3,0.2,0,,,3.4
4300,Johnathan Byrd,13,,0.2,0.4,0.6,0.2,0.4,0.6,0,0,,0.1,0.2,0.5,0.6,0.1,0,0.1,,,0.5
4301,Johnathan Byrd,55,,1.5,2.9,0.516,1.5,2.8,0.523,0,0,0,0.5,1.1,0.484,2.6,0.3,0.3,0.7,,,3.5
4302,Kyile Byrd,25,,2,4.1,0.5,1.1,2.2,0.5,0.9,1.8,0.5,0.2,0.3,0.5,2.4,0.6,0.2,0.2,,,5.2
4303,Larry Byrd,6,,0,0.2,0,0,0.2,0,0,0,,0,0,,0,0,0,0,,,0
4304,Marcus Byrd,122,22,2.6,5.5,0.477,1.3,2.3,0.558,1.3,3.2,0.419,0.8,1,0.783,2.8,1.2,0.5,0.4,1,2.3,7.3
4305,Montana Byrd,57,11.2,1,3.5,0.29,0.4,1.1,0.333,0.7,2.5,0.271,0.4,0.5,0.778,1.6,0.3,0.4,0.1,0.6,1.4,3.1
4306,Nicholas Byrd,111,,0.8,2.4,0.321,0.4,1.1,0.31,0.4,1.2,0.331,0.6,0.8,0.702,1.2,1.4,0.4,0,,,2.5
4307,Russell Byrd,78,6.7,0.4,1.6,0.289,0.2,0.3,0.5,0.3,1.2,0.232,0.2,0.4,0.563,0.8,0.3,0.1,0.1,0.4,0.8,1.4
4308,Sam Byrd,30,,0.9,2.2,0.418,0.9,2.2,0.418,0,0,,0.6,0.9,0.704,2.6,0.2,0.2,0.8,,,2.5
4309,Sterling Byrd,59,,3.1,6.6,0.469,1.8,3.1,0.578,1.3,3.5,0.372,1.3,1.7,0.738,4.4,0.8,0.8,0.4,,,8.8
4310,Titus Byrd,31,,1.8,5.5,0.331,0.9,2.4,0.378,0.9,3.2,0.296,1.1,1.6,0.686,1.6,3.3,0.6,0,,,5.7
4311,Tremain Byrd,113,,3.8,9.7,0.395,2.2,4.5,0.476,1.7,5.1,0.324,1,1.7,0.614,2.9,0.9,0.9,0.1,,,10.3
4312,Williams Byrd,119,,4.6,9.7,0.478,4.3,8.4,0.517,0.3,1.3,0.229,1.9,2.9,0.667,7,1.5,1.2,2.4,2.4,,11.5
4313,Willie Byrd,98,,2.6,6.5,0.402,1.8,4.1,0.44,0.8,2.4,0.336,1.1,1.6,0.704,3.1,1.5,1,0.2,,,7.1
4314,Geoff Byrne,27,,2.4,5.9,0.411,0.8,1.7,0.447,1.6,4.1,0.396,1,1.4,0.703,2.6,1.4,0.6,0.1,,,7.4
4315,Jake Byrne,93,,2.9,5.3,0.545,2.9,5.2,0.558,0,0.1,0,1.4,1.8,0.774,3.9,1.2,0.5,0.4,1.1,,7.2
4316,Kevin Byrne,81,,1.9,3.5,0.539,1.9,3.5,0.543,0,0,0,1.3,1.9,0.68,4,0.6,0.4,0.4,,,5
