ID,NAME,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
2834,Mickey Hosier,112,,1.2,3,0.411,0.5,1.1,0.443,0.7,1.9,0.392,0.6,0.9,0.673,1.8,2.4,1.5,0,,,3.8
2835,Sam Hoskin,80,,4.8,9.6,0.505,4.5,8.4,0.528,0.4,1.1,0.333,3.9,5.1,0.764,7.2,1,0.5,0.4,,,14
2836,Darnell Hoskins,81,,2.5,6.2,0.41,1.8,3.8,0.472,0.7,2.4,0.309,2.3,2.9,0.785,2.5,3.5,1.1,0.1,,,8
2837,David Hoskins,93,,4,8.9,0.447,3.6,7.1,0.502,0.4,1.8,0.232,3.6,5.1,0.701,4.6,2.4,1,0.2,,,12
2838,John Hoskins,40,5.2,0.2,0.8,0.226,0.2,0.8,0.226,0,0,,0.4,0.8,0.455,0.6,0,0.1,0.2,0.4,0.7,0.7
2839,Antoine Hosley,42,12.8,1.7,4.4,0.378,1.1,2.6,0.423,0.5,1.8,0.311,0.4,0.7,0.571,0.9,0.6,0.4,0,0.9,0.9,4.3
2840,Brandon Hosley,46,16.9,1.8,5.2,0.359,0.7,1.9,0.382,1.1,3.2,0.345,1.2,1.7,0.727,1.7,1,1.1,0,1.3,1.3,6
2841,Quinton Hosley,60,,5.2,12.5,0.413,3.7,8.2,0.453,1.4,4.3,0.333,4.4,6.2,0.71,9,1.4,1.7,0.8,,,16.1
2842,Brian Hosman,3,1.3,0,0,,0,0,,0,0,,0,0,,0.7,0,0,0,0.3,0.3,0
2843,R Hoss,4,,0,0,,0,0,,0,0,,0,0,,0,0,0,0.3,,,0
2844,Kenny Hotopp,107,,3,6.4,0.465,2.9,6,0.476,0.1,0.4,0.293,1.8,2.5,0.699,5.7,0.4,0.5,0.3,,,7.8
2845,Brent Hottell,6,,0.3,0.5,0.667,0,0,,0.3,0.5,0.667,0.3,0.3,1,0,0,0,0,,,1.3
2846,Josh Hotz,93,,2,4.9,0.414,0.7,1.7,0.396,1.4,3.2,0.424,0.8,1.1,0.723,1.7,1.5,0.6,0,,,6.2
2847,Dave Houle,1,,0,1,0,0,0,,0,1,0,0,0,,0,0,0,0,,,0
2848,Jason Houle,1,5,0,4,0,0,1,0,0,3,0,0,0,,2,1,0,0,0,0,0
2849,Matt Houle,28,,5.8,12.4,0.471,4,7.9,0.511,1.8,4.5,0.4,3.2,3.8,0.832,3.7,0.8,0.9,0,,,16.6
2850,Brian Houlihan,1,,0,0,,0,0,,0,0,,0,0,,0,0,0,0,,,0
2851,Patrick Houlihan,37,,0.1,0.4,0.231,0.1,0.3,0.25,0,0,0,0.1,0.3,0.4,0.5,0.2,0,0.1,0.1,,0.3
2852,Jack Houpt,94,31.1,2.4,5.8,0.407,0.8,1.7,0.444,1.6,4.1,0.391,0.8,0.9,0.867,3.3,1.3,0.5,0.4,1.1,2,7.1
2853,Rolando Hourruitiner,103,,2.7,5.9,0.448,1.8,3.7,0.496,0.8,2.3,0.372,1.6,2.1,0.739,2.9,1.7,0.8,0.6,,,7.7
2854,Andrew House,34,,0.4,1.3,0.341,0.2,0.4,0.615,0.2,0.9,0.226,0.1,0.2,0.5,0.5,0.1,0.2,0,0.2,,1.2
2855,Danuel House,119,30.1,4.6,11,0.416,2.9,6,0.481,1.7,5,0.337,3.3,4.7,0.699,4.7,2,0.7,0.4,1.9,1.9,14.1
2856,Eddie House,124,34.6,6.2,14.5,0.425,4.1,9,0.462,2,5.5,0.366,2.2,2.7,0.798,4,3.3,2.1,0.2,2.1,1.8,16.5
2857,Eric House,10,,0,0.3,0,0,0.3,0,0,0,,0,0.1,0,0.5,0,0.1,0,0.2,,0
2858,Franko House,105,26,3.5,7,0.508,3.4,6.2,0.54,0.2,0.7,0.234,2.6,3.7,0.696,5.6,2,0.6,0.4,1.9,3.4,9.8
2859,Fred House,60,,5.8,11.8,0.494,4.9,9.3,0.523,0.9,2.4,0.384,3.8,5.6,0.677,5.9,2.2,3.2,0.8,,,16.4
2860,Jon House,133,21.8,2,4.2,0.486,1.8,3.4,0.526,0.3,0.8,0.318,1.2,2,0.595,3.4,1.5,0.6,0.3,1.3,0.7,5.5
2861,Larry House,66,,3.9,7.9,0.49,3.5,6.7,0.521,0.4,1.2,0.316,0.9,1.2,0.713,3,1,1,0.2,,,9
2862,Zach House,55,9.4,0.5,1.4,0.354,0.5,1.4,0.354,0,0,,0.3,0.6,0.529,1.8,0.1,0.2,0.7,0.5,1.3,1.3
2863,Jake Houseknecht,49,4.9,0.2,0.6,0.31,0.2,0.6,0.31,0,0,,0.1,0.2,0.667,0.9,0.1,0.1,0.4,0.3,0.7,0.5
2864,Justin Houser,15,,0.7,2.3,0.324,0.7,1.8,0.37,0.1,0.5,0.143,0.5,0.7,0.7,1.7,0.4,0.1,0.3,,,2
2865,Drew Housman,113,,3.2,7.9,0.409,2.4,5.5,0.43,0.9,2.4,0.36,3.5,4.3,0.808,2.5,3,1.4,0,2.4,,10.9
2866,Michael Housman,113,,2.5,4.6,0.543,2.5,4.6,0.545,0,0,0.4,1.1,1.7,0.648,4.5,0.8,0.7,0.4,,,6.1
2867,Alfonzo Houston,65,19.4,2.2,5,0.439,2.1,4.4,0.47,0.1,0.6,0.22,2.1,2.8,0.742,2.1,1,0.5,0.1,0.9,1.1,6.6
2868,Allan Houston,128,36,7,15.3,0.46,4.3,8.9,0.486,2.7,6.4,0.424,5.1,6,0.849,4,3.6,1,0.4,3.2,2.1,21.9
2869,Baryn Houston,67,7.5,0.6,2.2,0.276,0.3,1,0.343,0.3,1.2,0.218,0.2,0.4,0.536,1.3,0.2,0.1,0,0.2,0.7,1.7
2870,Billy Houston,110,,2.1,4.1,0.5,2.1,4.1,0.501,0,0,0,1.4,2.5,0.573,3.7,0.4,0.7,1.3,,,5.5
2871,Byron Houston,127,32.4,6.5,11.8,0.552,6.8,12.1,0.566,0.3,0.9,0.281,5.5,7.5,0.729,9.4,1.6,1.3,1.8,3,3.4,18.7
2872,Clinton Houston,67,17.1,0.7,1.6,0.417,0.7,1.6,0.425,0,0,0,0.7,1.1,0.667,2.2,0.2,0.2,0.3,0.6,0.7,2.1
2873,Courtnei Houston,24,,0.9,2,0.429,0.6,1.3,0.5,0.3,0.8,0.316,0.4,0.6,0.643,0.9,0.5,0.3,0,,,2.4
2874,David Houston,9,,0.3,0.6,0.6,0.1,0.3,0.5,0.2,0.3,0.667,0,0,,0.1,0,0,0,,,0.9
2875,Demetrius Houston,30,12.8,1.1,3.4,0.311,1,3,0.322,0.1,0.4,0.231,0.8,1.5,0.533,2.2,0.4,0.5,0.2,1.2,1.4,3
2876,Deonte Houston,36,18.1,1.1,3.2,0.345,0.9,2.4,0.364,0.2,0.8,0.286,1.4,2.3,0.642,1.4,1.8,0.8,0,1,1.5,3.9
2877,Devarick Houston,59,29,2.1,5,0.423,1.6,3.1,0.527,0.5,1.8,0.248,0.9,1.5,0.58,4.8,1.4,1.6,1.1,1.9,3.1,5.5
2878,Gerrald Houston,33,,1.5,3.2,0.476,1.5,3.2,0.476,0,0,,0.7,1,0.697,2.1,0.2,0.6,0.2,,,3.7
2879,Heath Houston,10,3.8,0.3,0.5,0.6,0.3,0.5,0.6,0,0,,0,0,,0.6,0,0.1,0.2,0.3,1,0.6
2880,Hunter Houston,63,10.5,1.3,3.6,0.362,0.7,1.4,0.489,0.6,2.2,0.279,0.2,0.4,0.407,1.6,0.4,0.4,0.1,0.5,0.5,3.3
2881,Jarad Houston,5,,0,0,,0,0,,0,0,,0,0,,1,0,0,0.4,,,0
2882,Jarad Houston,32,,0.6,1.3,0.465,0.6,1.2,0.486,0.1,0.2,0.333,0.3,0.6,0.421,2,0.3,0,0.5,,,1.6
2883,Jerrell Houston,78,,4.2,8.8,0.475,4,7.9,0.505,0.2,0.9,0.222,2.1,3,0.711,5.8,1.6,1.3,1,3.1,,10.7
2884,Kevin Houston,119,,3,7,0.422,2.2,4.7,0.472,0.7,2.3,0.32,1.7,2.3,0.716,2.4,3.6,1,0.2,,,8.3
2885,Kevin Houston,18,,2.4,5.3,0.453,2,4.1,0.493,0.4,1.2,0.318,1.9,2.6,0.761,3.8,0.5,0.2,0.2,,,7.1
2886,Kevin Houston,30,,6.2,14.8,0.42,3.7,7.7,0.481,2.5,7.1,0.354,4.6,5.7,0.813,6.9,0.7,1.2,0.1,,,19.5
2887,Leonard Houston,87,,2.6,6,0.427,1.7,3.3,0.502,0.9,2.7,0.336,1.5,2,0.743,2.9,1.1,0.9,0.2,1.9,,7.6
2888,Maurice Houston,31,,5.4,13.5,0.402,4,9.4,0.426,1.4,4.1,0.346,3.1,4.4,0.711,3.6,5.5,1.5,0.3,,,15.4
2889,Rick Houston,110,,1.5,3.9,0.394,0.8,2.1,0.391,0.7,1.8,0.398,0.7,0.9,0.765,1.4,0.7,0.3,0.1,,,4.5
2890,Sean Houston,57,,4.4,10.4,0.426,4.4,10.4,0.427,0,0,0,1.5,3.6,0.415,8.4,0.8,0.8,1.2,,,10.4
2891,Steve Houston,70,,2.3,6.4,0.365,1.6,4.1,0.384,0.8,2.3,0.331,1.4,1.9,0.713,2.6,3.2,1.7,0.1,,,6.8
2892,Tre Houston,2,2.5,0,0.5,0,0,0.5,0,0,0,,0,0,,0,0,0,0,0,0.5,0
2893,Andrew Houts,10,3.5,0.6,1.3,0.462,0.5,0.8,0.625,0.1,0.5,0.2,0.5,0.6,0.833,0.9,0.5,0.2,0,0.5,0.5,1.8
2894,Tom Hovasse,99,29.1,5.4,12.1,0.443,3.4,7.6,0.452,2.1,5,0.413,2.3,3,0.753,6.3,1.9,,,,,14.7
2895,Kevin Hovde,99,2.9,0.8,1.4,0.566,0.6,0.9,0.644,0.2,0.5,0.429,0.2,0.3,0.606,1.3,0.6,0.3,0.1,0.3,0,2
2896,Logan Hovey,14,6.6,0.4,1,0.429,0.4,0.9,0.462,0,0.1,0,0.2,0.6,0.333,1.7,0.2,0.1,0.1,0.2,0.8,1.1
2897,Adam Howard,43,,0.2,0.7,0.241,0.1,0.3,0.357,0,0.3,0.133,0.4,0.5,0.727,0.2,0.1,0,0,0.3,,0.7
2898,Andre Howard,110,,2.8,6.8,0.411,2.8,6.7,0.414,0,0.1,0.2,1.6,2.4,0.654,5.6,1.3,0.9,0.5,,,7.2
2899,Antoine Howard,26,,2.9,6.8,0.426,2.2,4.9,0.441,0.7,1.9,0.388,2.3,3.3,0.718,2.8,2.4,1.5,0.1,,,8.8
