ID,NAME,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
892,Greg Glass,36,,0.8,1.9,0.42,0.3,0.7,0.48,0.5,1.2,0.386,0.2,0.3,0.667,0.6,0.2,0.1,0.1,,,2.3
893,Josh Glass,1,,0,0,,0,0,,0,0,,0,0,,0,0,0,0,,,0
894,Lincoln Glass,45,,1.8,5.6,0.332,0.5,1.4,0.369,1.3,4.1,0.319,1.2,1.5,0.833,1.4,2.1,0.9,0,,,6.2
895,Matt Glass,130,24.5,2.4,5.4,0.44,1.5,3.1,0.491,0.9,2.3,0.372,0.8,1.1,0.745,2.5,0.6,0.2,0.2,0.8,1.3,6.5
896,Tevin Glass,27,9.4,1.1,2.6,0.42,0.9,2.1,0.429,0.2,0.5,0.385,1.1,1.6,0.682,2.4,0.4,0.3,0.2,0.4,1.2,3.4
897,Tyler Glass,3,,0,0.7,0,0,0.3,0,0,0.3,0,0,0,,0.7,0,0,0,,,0
898,Tyree Glass,110,20.5,1.9,5,0.382,1.8,4.3,0.409,0.2,0.7,0.215,1.8,3.1,0.566,3.3,0.6,0.4,0.3,1.9,0.8,5.7
899,Derek Glasser,131,32.9,2.2,6,0.374,1.1,2.8,0.385,1.1,3.1,0.363,2.3,2.7,0.838,2.1,4.2,0.9,0,2,0.3,7.8
900,Trevor Glassman,19,1.9,0.1,0.8,0.125,0,0.1,0,0.1,0.8,0.133,0.1,0.1,0.5,0.2,0.1,0,0,0.2,0.4,0.4
901,Grandy Glaze,101,16.2,2.9,5.1,0.556,2.9,5,0.568,0,0.1,0,0.9,1.5,0.597,5.1,0.5,0.5,0.1,1,1.2,6.6
902,Robert Glaze,21,,0.6,1,0.591,0.6,1,0.591,0,0,,0.2,0.8,0.313,1.6,0.3,0,0,,,1.5
903,Craig Glazer,2,,0,0,,0,0,,0,0,,0,0,,0.5,0,0,0,,,0
904,Kieran Gleeson,27,,1.8,4.4,0.4,1.6,4,0.404,0.1,0.4,0.364,0.7,1.6,0.455,3.9,0.7,0.3,0.5,,,4.4
905,Bryan Glenn,1,3,0,0,,0,0,,0,0,,0,0,,1,0,0,0,0,1,0
906,Craig Glenn,57,,0.9,2.7,0.344,0.6,1.4,0.423,0.4,1.3,0.263,0.9,1.4,0.65,1.5,1.4,0.6,0.1,,,3.1
907,Deshawn Glenn,9,,2.3,4.1,0.568,2.2,4,0.556,0.1,0.1,1,1.3,2.6,0.522,4,1.6,1.1,0.2,,,6.1
908,Jarius Glenn,125,,3.8,7.7,0.491,3.5,6.8,0.515,0.3,1,0.319,2.7,3.8,0.718,4.8,2,1,0.4,,,10.6
909,Jevon Glenn,41,,1.3,3.6,0.358,1.1,2.9,0.385,0.2,0.8,0.258,1,1.8,0.527,2.1,1.2,0.8,0.1,,,3.7
910,Justin Glenn,114,14.3,1.6,3.1,0.52,1.6,2.9,0.533,0.1,0.2,0.333,0.7,1.4,0.519,4.1,0.7,0.5,0.8,1.1,1.7,4.1
911,Marcus Glenn,2,,1,4.5,0.222,1,3,0.333,0,1.5,0,0.5,1,0.5,2.5,0,0,0.5,,,2.5
912,Maricus Glenn,10,8.5,0.5,1.3,0.385,0.5,1.3,0.385,0,0,,0.2,0.7,0.286,1.6,0.1,0.5,0.3,0.4,1.5,1.2
913,Mike Glenn,104,32.8,8.2,14.4,0.571,,,,,,,1.6,1.8,0.875,2.5,,,,,,18.1
914,Montae Glenn,34,15.1,1.9,3.4,0.569,1.9,3.4,0.574,0,0,0,0.9,1.3,0.644,4,0.2,0.4,0.4,0.6,2.6,4.7
915,Rashawne Glenn,74,,5.9,14.1,0.421,4.6,9.7,0.467,1.4,4.3,0.318,4.7,6.3,0.749,2.4,2.7,0.9,0.1,,,18
916,Ricardo Glenn,127,24,3.7,6.8,0.555,3.7,6.7,0.56,0,0.1,0.231,2.4,3.8,0.62,7.3,1.6,0.7,0.3,1.7,2.4,9.9
917,Ricky Glenn,53,,4.5,8.8,0.51,4.4,8.6,0.512,0.1,0.2,0.4,2.5,3.9,0.652,4.7,0.9,0.9,0.5,,,11.6
918,Robert Glenn,66,31.1,6.3,10.6,0.591,6.2,10.1,0.611,0.1,0.5,0.161,4.5,6.1,0.741,6.1,1.5,1.1,1.5,2.8,1.6,17.1
919,Adam Glenville,9,3.3,0.4,1.3,0.333,0.2,0.7,0.333,0.2,0.7,0.333,0.6,0.7,0.833,0.9,0.3,0,0,0.2,0,1.7
920,Ryan Glidden,20,,0.5,1.1,0.409,0.3,0.7,0.357,0.2,0.4,0.5,0.1,0.2,0.5,0.6,0.5,0.2,0,,,1.2
921,Hart Gliedman,10,4.7,0.2,0.8,0.25,0.2,0.7,0.286,0,0.1,0,0.3,0.5,0.6,0.7,0.1,0,0,0.2,0.4,0.7
922,Windale Glinton,27,14.3,1.3,2.9,0.468,1.3,2.8,0.48,0,0.1,0,0.5,0.7,0.684,2.5,0.2,0.4,0.4,0.7,3.1,3.1
923,Jason Glock,62,,1.6,3.3,0.498,1.3,2.2,0.578,0.4,1.1,0.343,0.5,0.6,0.886,1.7,1.2,0.5,0.1,,,4.2
924,Kyle Gloff,22,,0.6,1.9,0.333,0.6,1.9,0.333,0,0,,0.2,1,0.227,1.9,0.3,0.2,0.1,,,1.5
925,Jeff Gloger,86,,3.1,6.3,0.496,2.8,5.6,0.504,0.3,0.7,0.438,2.3,3.5,0.677,5.2,3.4,1.9,0.1,,,8.9
926,Spencer Gloger,47,,4.6,10.4,0.439,2.2,4.5,0.498,2.3,5.9,0.394,2.1,2.9,0.721,4.3,1.8,1.1,0.3,,,13.5
927,Till Gloger,117,19.3,3.2,6,0.539,3.2,6,0.541,0,0,0,1.4,1.9,0.716,3.5,0.3,0.4,0.2,1.2,1.5,7.8
928,Adam Glosier,28,,1.9,5.2,0.37,1.9,5.2,0.37,0,0,,0.8,1.7,0.479,6.4,0.6,1.5,0.5,,,4.7
929,Chaz Glotta,26,11.3,1.5,4,0.375,0.4,1,0.407,1.1,3,0.364,0.7,1,0.76,0.6,0.4,0.5,0,0.6,1.4,4.8
930,Zach Glotta,41,14.6,1,2.9,0.359,0.2,0.4,0.412,0.9,2.4,0.35,0.2,0.2,0.7,0.9,1.2,0.4,0,0.6,1.3,3.1
931,Antario Glover,46,,0.9,1.8,0.476,0.8,1.5,0.535,0,0.3,0.154,0.3,0.6,0.483,1.6,0.9,0.4,0,,,2.1
932,Anthony Glover,32,21.2,2.3,6.4,0.363,1.1,2.8,0.398,1.2,3.6,0.336,1,1.5,0.66,1.4,1.2,0.8,0.1,1.3,1.3,6.8
933,Anthony Glover,128,,4.1,8.8,0.466,4,8.5,0.472,0.1,0.3,0.293,2.9,4.6,0.638,5.9,0.8,1.3,0.5,,,11.2
934,Cameron Glover,4,3.3,0.3,0.8,0.333,0,0,,0.3,0.8,0.333,0.8,1.3,0.6,0.5,0.3,0.3,0,0,0.5,1.5
935,Charles Glover,64,17.7,1.1,3.5,0.33,0.5,1.3,0.388,0.7,2.2,0.298,0.9,1.2,0.766,1.8,1,0.6,0.1,1,2.2,3.9
936,Darius Glover,64,,4.4,9.2,0.474,4.4,9.1,0.48,0,0.1,0,2.2,4.1,0.54,5.5,1.5,0.7,0.2,,,11
937,Dion Glover,33,,6.7,15.2,0.441,5.4,10.2,0.525,1.4,5,0.271,3.6,5.6,0.64,5,2.6,2.1,0.2,,,18.4
938,Innis Glover,55,,1.5,4.2,0.365,0.9,2.4,0.397,0.6,1.9,0.324,0.8,1.1,0.767,3.2,0.5,0.3,0.1,,,4.6
939,Jamison Glover,16,2.6,0.5,1,0.5,0.4,0.8,0.462,0.1,0.2,0.667,0.6,0.9,0.667,0.5,0.1,0.1,0,0.2,0.3,1.8
940,Jerry Glover,52,,3,7.7,0.39,2.1,5.2,0.404,0.9,2.5,0.362,2.2,3.4,0.663,3,1.5,0.6,0.3,,,9.1
941,John Ross Glover,62,7.9,1,2.5,0.4,0.8,2,0.418,0.2,0.5,0.333,0.6,0.9,0.655,1.4,0.3,0.1,0.1,0.7,0.7,2.8
942,Kevin Glover,32,,0.8,1.9,0.417,0.8,1.9,0.417,0,0,,0.5,1,0.531,1.5,0.1,0.3,0.4,,,2.1
943,Landon Glover,9,,0,0.2,0,0,0.2,0,0,0,,0.2,0.2,1,0.3,0.2,0.1,0,0.1,,0.2
944,Matt Glover,97,26.1,1.7,4.9,0.355,1.3,3.3,0.396,0.4,1.5,0.267,1.7,3.1,0.54,5.1,2.6,1.1,0.2,1.8,3,5.5
945,Michael Glover,70,34,7.1,11.4,0.623,7.1,11.4,0.625,0,0,0,4.1,6.5,0.634,9.6,0.9,0.9,1,2.5,2.8,18.4
946,Sam Glover,1,2,1,1,1,1,1,1,0,0,,0,0,,0,0,0,0,0,0,2
947,Shawn Glover,126,26.6,4.7,10,0.467,4.1,8.2,0.498,0.6,1.8,0.321,1.8,2.3,0.772,4.2,1.2,0.7,1,1.5,1.6,11.6
948,Tim Glover,27,,3.2,8.6,0.373,0.9,2.3,0.397,2.3,6.3,0.365,1.7,2.1,0.821,3.6,4,1,0.1,,,10.4
949,Chris Glowe,73,,2.8,6.1,0.468,2.8,5.9,0.475,0,0.1,0.2,2.2,3.3,0.663,5.2,0.6,0.8,0.6,,,7.9
950,Brian Glowiak,118,,1.2,3.7,0.333,0.2,0.5,0.393,1,3.2,0.323,0.2,0.4,0.51,1.2,0.8,0.3,0,0.4,,3.7
951,Steve Glowiak,122,23.5,2.8,7.6,0.375,0.9,2.1,0.454,1.9,5.5,0.345,0.9,1.1,0.743,2.6,1,0.8,0,0.8,1.4,8.4
952,Grayson Glur,15,,0.3,0.9,0.357,0.3,0.9,0.357,0,0,,0,0,,0.6,0.1,0.2,0,,,0.7
953,Evan Glusman,2,,0,0,,0,0,,0,0,,0,0,,0,0,0,0,,,0
954,Jordan Glynn,61,30.4,3.6,6.6,0.541,3.6,6.6,0.545,0,0,0,2.8,3.5,0.802,8.2,1.1,1,0.1,1.5,2.4,10
955,Mike Gminski,122,36.1,7.4,13.9,0.531,,,,,,,4.3,5.4,0.792,10.2,1,,,,,19
956,TyQuane Goard,60,16.6,1.5,2.9,0.529,1.5,2.8,0.542,0,0.1,0,1,1.5,0.659,3.2,0.5,0.6,0.5,0.7,1.7,4
957,Andrew Goba,104,9.5,0.3,0.9,0.333,0.3,0.9,0.333,0,0,,0.2,0.4,0.421,1.4,0.1,0.2,0.2,0.3,0.4,0.8
958,Andy Gobczynski,107,,1.1,2.6,0.415,0.9,2,0.457,0.1,0.5,0.259,0.7,1,0.657,3.2,0.8,0.3,0.2,,,3
959,Sarp Gobeloglu,41,19,2.6,6,0.435,1,1.8,0.562,1.6,4.2,0.382,0.7,0.8,0.818,3.4,0.5,0.2,0.4,1.1,2.4,7.5
960,Colten Gober,3,3.7,0.3,0.7,0.5,0,0,,0.3,0.7,0.5,0,0,,0.3,0,0,0,0.3,0,1
961,Todd Goberville,2,,0,0,,0,0,,0,0,,0,0,,0.5,0,0,0,,,0
962,Matt Gochnauer,17,,0.2,0.7,0.333,0.2,0.5,0.375,0.1,0.2,0.25,0.4,0.5,0.667,0.6,0.2,0,0,,,0.9
