ID,NAME,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,Simple_PER,ID,NAME
1788,"Aaron Williams",11,2.3,0.5,0.5,0.833,0.3,0.3,1,0.2,0.3,0.667,0.6,0.6,1,0.4,0,0,0.1,0.3,0,1.7,1.133,5199,"Aaron Williams"
103,"Aaron Young",71,21.4,2,4.2,0.47,0.9,1.9,0.493,1,2.3,0.45,1,1.3,0.775,1.2,1.6,0.5,0,0.9,1.7,5.9,3.998,5387,"Aaron Young"
103,"Aaron Young",71,21.4,2,4.2,0.47,0.9,1.9,0.493,1,2.3,0.45,1,1.3,0.775,1.2,1.6,0.5,0,0.9,1.7,5.9,3.998,5388,"Aaron Young"
104,"Aaron Young",40,4.2,0.5,1.1,0.455,0.1,0.1,0.5,0.5,1,0.45,0.3,0.3,0.769,0.3,0.3,0.1,0,0.2,0.6,1.7,1.39,5387,"Aaron Young"
104,"Aaron Young",40,4.2,0.5,1.1,0.455,0.1,0.1,0.5,0.5,1,0.45,0.3,0.3,0.769,0.3,0.3,0.1,0,0.2,0.6,1.7,1.39,5388,"Aaron Young"
2070,"Abdoulaye Gueye",16,9.2,0.4,1.3,0.333,0.4,1.1,0.389,0,0.2,0,0,0.2,0,2.3,0.3,0.4,0.3,1.3,1.1,0.9,1.677,1921,"Abdoulaye Gueye"
700,"Abdoulaye Harouna",43,20.1,1.7,5,0.347,0.7,2,0.372,1,3,0.331,1.2,1.7,0.712,1.9,0.6,0.8,0.2,1.2,2.3,5.6,2.775,1997,"Abdoulaye Harouna"
872,"Abdul Lewis",44,27.1,2.6,5.8,0.447,2.5,5.5,0.457,0.1,0.3,0.286,1.7,3,0.565,6.9,0.8,0.3,0.6,2.2,3,7,7.073,2864,"Abdul Lewis"
113,"Abdul-Malik Abu",77,24,3.8,7.7,0.489,3.7,7.6,0.493,0,0.1,0.143,2.4,3.8,0.626,6.8,0.9,0.3,0.7,1.5,2.5,9.9,8.746,14,"Abdul-Malik Abu"
3868,"Abdulai Bundu",38,22.7,2.6,5.4,0.483,2.6,5.4,0.485,0,0,0,1.9,3.2,0.598,6.3,0.3,0.2,0.4,1.2,2.1,7.1,6.97,668,"Abdulai Bundu"
1519,"Abel Porter",4,6,0.5,1.8,0.286,0.3,0.3,1,0.3,1.5,0.167,0.3,0.5,0.5,0.3,0.8,0.5,0,0,0,1.5,1.59,3857,"Abel Porter"
724,"Adam Giles",1,6,2,2,1,1,1,1,1,1,1,1,2,0.5,0,0,1,0,0,0,6,4.11,1768,"Adam Giles"
1410,"Adam Grant",10,34.4,5.9,11.2,0.527,3.7,5.7,0.649,2.2,5.5,0.4,2.3,3.2,0.719,2.8,2.9,1.1,0.1,2.3,2.3,16.3,9.925,1855,"Adam Grant"
1567,"Adam McDermott",32,22.7,2.1,5,0.41,0.3,0.8,0.417,1.8,4.3,0.409,0.8,0.9,0.862,2.3,0.5,0.6,0,0.5,1.5,6.7,4.903,3169,"Adam McDermott"
1147,"Adam Pickett",37,6.9,1.1,1.9,0.58,1,1.5,0.649,0.1,0.3,0.25,0.6,0.8,0.8,1.2,0.4,0.5,0.2,0.6,1.1,2.9,2.703,3818,"Adam Pickett"
1558,"Adam Roe",42,8.8,1.1,3,0.375,0.4,0.9,0.395,0.8,2.1,0.367,0.4,0.7,0.621,1.2,0.3,0.3,0,0.5,0.9,3.5,2.006,4126,"Adam Roe"
3950,"Ade Murkey",8,8.4,0.5,1.5,0.333,0.3,1.1,0.222,0.3,0.4,0.667,0.8,1.1,0.667,0.6,0.8,0,0.1,0.8,1.1,2,1.124,3466,"Ade Murkey"
569,"Admiral Schofield",36,18.1,2.7,6.2,0.438,2,3.8,0.526,0.8,2.5,0.303,1.1,1.2,0.905,3.8,0.9,0.3,0.3,0.8,2.6,7.3,6.27,4280,"Admiral Schofield"
721,"Admon Gilder",45,22.4,2.8,6.2,0.441,1.7,3.2,0.531,1,3,0.346,1.4,1.9,0.738,2.7,2,1.1,0.2,1.1,1.7,7.9,6.545,1766,"Admon Gilder"
422,"Adonis Filer",106,20.8,2.3,6,0.38,1.5,3.6,0.417,0.8,2.4,0.323,1.8,2.4,0.741,2.8,1.6,0.8,0,1.5,1.9,7.1,4.624,1525,"Adonis Filer"
2113,"Adonis Rwabigwi",64,13.8,1.2,2.3,0.538,1.2,2.3,0.542,0,0,0,0.7,1.3,0.56,2.6,0.2,0.3,0.5,1,2.3,3.2,3.13,4195,"Adonis Rwabigwi"
