ID,NAME,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,Simple_PER
1004,Tony Lewis,64,18.4,2.5,4.5,0.545,2.5,4.5,0.549,0,0,0,1.7,2.4,0.712,6,0.6,0.4,0.1,1.6,1.6,6.6,7.265
1005,Tony Lewis,10,7.7,1,2.1,0.476,1,2,0.5,0,0.1,0,0.2,0.5,0.4,1.9,0,0.2,0.3,1.1,1.7,2.2,1.591
888,Tony Massenburg,112,26.2,4.7,8.9,0.523,6.7,12.7,0.528,0,0.1,0,2.7,4.3,0.643,6.4,0.5,0.5,0.9,1.7,2.7,12.1,10.296
1739,Tony McGilveary,24,14,1.8,5.1,0.361,1.2,3.1,0.392,0.6,2,0.313,0.7,1.3,0.531,2.6,0.2,0.2,0,1,1.6,5,2.05
2227,Tony Meier,119,23,2.9,6.5,0.439,1.3,2.4,0.535,1.6,4.1,0.384,1.5,1.9,0.765,4.1,1,0.3,0.4,1.4,1.9,8.8,6.821
2995,Tony Mitchell,89,28.6,5.1,10.4,0.493,4.4,7.9,0.556,0.8,2.6,0.301,1.6,2.6,0.63,6.7,1.2,1.4,1,1.4,2.3,12.7,11.901
2996,Tony Mitchell,55,31.1,4.7,9.6,0.49,3.8,7,0.545,0.9,2.6,0.34,3.5,4.9,0.702,9.3,1.1,0.9,2.9,2.6,3,13.7,14.781
451,Tony Neysmith,81,10.9,0.4,1.1,0.396,0.4,1,0.424,0,0.1,0,0.1,0.5,0.3,1,0.8,0.4,0.1,0.9,0.6,1,1.141
603,Tony Nixon,110,14.5,1.5,4.1,0.358,0.7,1.7,0.411,0.8,2.4,0.319,0.6,0.9,0.604,1.8,0.5,0.3,0.1,0.6,1.2,4.3,2.624
897,Tony Peters,101,10.8,0.9,2,0.432,0.9,2,0.447,0,0.1,0.111,0.3,0.6,0.431,1.5,0.5,0.1,0.1,0.9,1.3,2,1.426
5,Tony Sabato,98,10.9,0.9,2.1,0.406,0.9,2.1,0.408,0,0,0,0.3,0.6,0.517,1.6,0.5,0.1,0.2,0.7,1.8,2,1.835
2410,Tony Smith,114,32.4,5.4,10.4,0.521,4.9,9.3,0.531,0.5,1.1,0.43,3.6,4.5,0.785,4.1,4.1,1.7,0.5,2.9,2.6,14.8,11.576
2484,Tony Snell,104,24.8,3,7.1,0.421,1.4,2.9,0.48,1.6,4.2,0.38,1.6,1.9,0.821,2.4,2,0.5,0.3,1.5,1.2,9.2,5.962
365,Tony Taylor,121,32.7,3.6,8.9,0.401,2.7,6.2,0.428,0.9,2.7,0.341,3,4.3,0.699,2.7,4,1.1,0.1,2.2,1.7,11.1,7.087
866,Tony Watson,110,18.7,1.7,4.1,0.411,0.5,1.1,0.453,1.2,3,0.396,1,1.1,0.856,1.7,1.9,0.4,0,1,1.1,5.5,4.54
1477,Tony White,136,32.4,3.4,8.2,0.416,1.6,3.4,0.465,1.9,4.9,0.382,2.3,2.8,0.827,2.1,2.6,0.7,0,2.2,0.4,11,5.914
2507,Tony Wills,105,20.4,1.5,3.7,0.418,1.1,2.3,0.479,0.4,1.4,0.315,1,1.4,0.745,2.4,1.2,0.8,0.2,0.8,2.2,4.5,4.389
3271,Tony Wroten,35,30.3,5.7,12.8,0.443,5.4,11.2,0.483,0.3,1.6,0.161,4.4,7.5,0.583,5,3.7,1.9,0.4,3.8,2.7,16,8.681
646,Tonye Jekiri,139,22,2.2,4.5,0.501,2.2,4.4,0.503,0,0,0.2,1,1.6,0.64,6.5,0.7,0.5,0.9,1,2.5,5.5,8.66
3551,Tookie Brown,40,31.1,5.5,13.2,0.419,3.9,8.5,0.462,1.6,4.8,0.342,4.2,5.2,0.799,3.4,3.6,1.8,0.2,2.3,2.5,16.9,9.713
1134,Tor Anderson,15,3.5,0.2,0.7,0.3,0,0.1,0,0.2,0.6,0.333,0,0.1,0,0.5,0.1,0.1,0,0.1,0.3,0.6,0.556
4098,Torey Burston,52,2.6,0.1,0.4,0.143,0,0.3,0.125,0,0.1,0.2,0.1,0.2,0.5,0.3,0.3,0.1,0,0,0.3,0.3,0.361
645,Torey Noel,9,20.7,1.8,5,0.356,1.2,3.3,0.367,0.6,1.7,0.333,2.2,3.7,0.606,1.6,3.7,1.6,0.3,1.7,2.3,6.3,5.592
