Simple_PER,name,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Simple_PER
1.885,Etdrick Bohannon,26,0,5.8,0.3,0.8,0.429,0,0,0,0.3,0.8,0.429,0.429,0.7,1.1,0.679,0.7,1,1.7,0.2,0.1,0.4,0.5,1.2,1.4,1.885
7.633,Manute Bol,624,133,18.7,1.1,2.6,0.407,0.1,0.3,0.21,1,2.3,0.435,0.42,0.4,0.6,0.561,1,3.3,4.2,0.3,0.2,3.3,0.7,2.3,2.6,7.633
2.495,Bill Bolger,20,0,10.1,1.2,3,0.407,0,0,0,1.2,3,0.407,0.407,0.4,0.7,0.615,0,0,1.8,0.6,0,0,0,1.4,2.8,2.495
1.696,Joel Bolomboy,7,0,2.1,0.3,0.4,0.667,0,0.1,0,0.3,0.3,1,0.667,0.1,0.3,0.5,0,1.1,1.1,0.1,0.1,0.3,0.1,0.1,0.7,1.696
0.125,Doug Bolstorff,3,0,7,0.7,1.7,0.4,0,0,0,0.7,1.7,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0.3,1.3,0.125
0.075,George Bon Salle,3,0,3,0.7,2.7,0.25,0,0,0,0.7,2.7,0.25,0.25,0,0,0,0,0,0.7,0,0,0,0,0,1.3,0.075
0.625,Phil Bond,7,0,3,0.3,0.9,0.333,0,0,0,0.3,0.9,0.333,0.333,0,0,0,0.1,0.4,0.6,0.3,0.1,0,0.3,0.1,0.6,0.625
3.669,Walter Bond,153,42,15.9,2.2,5.3,0.409,0.3,0.9,0.299,1.9,4.4,0.431,0.434,1.1,1.5,0.767,0.5,1.4,1.9,1.2,0.6,0.2,1,2.4,5.7,3.669
0.878,Dexter Boney,8,0,6,0.8,2.4,0.316,0.1,0.8,0.167,0.6,1.6,0.385,0.342,0.8,1,0.75,0.4,0.4,0.8,0,0.3,0.1,0.1,0.4,2.4,0.878
1.49,Ron Bonham,118,0,9.4,2.1,5.4,0.388,0,0,0,2.1,5.4,0.389,0.388,1.9,2.4,0.824,0,0,1.4,0.4,0,0,0.8,0.8,6.1,1.49
7.796,Anthony Bonner,318,120,23.2,2.8,5.9,0.468,0,0.1,0.125,2.8,5.9,0.471,0.469,1.4,2.3,0.59,2.2,3.2,5.4,1.4,1.1,0.3,1.4,2.5,6.9,7.796
