ID,NAME,HEIGHT,WEIGHT,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
11,Alex Acker,5-Jun,185lb,30,0,7.8,1.1,3.1,0.37,0.3,0.8,0.32,0.9,2.2,0.388,0.413,0.2,0.3,0.5,0.3,0.7,1,0.5,0.2,0.1,0.4,0.4,2.7
12,Don Ackerman,Jun-00,183lb,28,,7.9,0.5,2.3,0.222,,,,0.5,2.3,0.222,0.222,0.5,1,0.536,,,0.5,0.8,,,,1.5,1.5
13,Mark Acres,11-Jun,220lb,375,68,16,1.4,2.7,0.506,0,0,0.538,1.4,2.7,0.505,0.509,0.8,1.2,0.665,1.5,2.5,4.1,0.5,0.4,0.3,0.6,2.5,3.6
14,Bud Acton,6-Jun,210lb,23,,8.5,1.3,3.2,0.392,,,,1.3,3.2,0.392,0.392,0.8,1.3,0.655,,,2,0.5,,,,1.5,3.3
15,Quincy Acy,7-Jun,240lb,225,51,15.1,1.7,3.5,0.494,0.2,0.6,0.323,1.5,2.9,0.529,0.521,0.9,1.2,0.749,1.1,2.4,3.5,0.6,0.4,0.4,0.6,1.9,4.5
16,Alvan Adams,9-Jun,210lb,988,342,27.5,5.8,11.6,0.498,0,0,0.133,5.8,11.6,0.498,0.498,2.5,3.2,0.788,2,5,7,4.1,1.3,0.8,2.6,3.3,14.1
17,Don Adams,6-Jun,210lb,523,,25.8,3.5,8.7,0.402,0,0.1,0,3.5,8.7,0.402,0.402,1.8,2.5,0.741,1.5,3.3,5.6,1.9,1.1,0.2,2.2,3.3,8.8
18,George Adams,5-Jun,210lb,215,,18.2,3.3,6.7,0.497,0,0.1,0.235,3.3,6.6,0.5,0.499,1,1.3,0.794,1.5,2.6,4.1,1.5,0.6,0.4,1.4,1.7,7.7
19,Hassan Adams,4-Jun,220lb,73,8,7.5,1.1,2,0.534,0,0,0,1.1,2,0.537,0.534,0.4,0.6,0.643,0.5,0.7,1.2,0.2,0.2,0.1,0.4,0.7,2.5
20,Jordan Adams,5-Jun,209lb,32,0,8.2,1.2,2.9,0.402,0.3,0.8,0.385,0.8,2.1,0.409,0.457,0.5,0.9,0.607,0.3,0.7,0.9,0.6,0.6,0.2,0.5,0.8,3.2
21,Michael Adams,10-May,162lb,653,510,31.3,5,12,0.415,1.5,4.4,0.332,3.5,7.6,0.462,0.475,3.3,3.9,0.849,0.6,2.3,2.9,6.4,1.7,0.1,2.1,1.8,14.7
22,Steven Adams,Jul-00,255lb,253,189,22.3,2.6,4.7,0.564,0,0,0,2.6,4.7,0.565,0.564,1.4,2.4,0.573,2.5,3.7,6.2,0.7,0.6,1,1.2,2.8,6.6
23,Rafael Addison,7-Jun,215lb,379,54,15,2.4,5.4,0.449,0.2,0.6,0.282,2.2,4.8,0.472,0.466,0.7,0.9,0.772,0.7,1.4,2.1,0.9,0.4,0.2,0.7,1.8,5.8
24,Rick Adelman,1-Jun,175lb,462,,22.6,3,7.2,0.415,,,,3,7.2,0.415,0.415,1.8,2.5,0.713,0.4,1.1,2.4,3.5,0.9,0.1,,2.1,7.7
25,Jeff Adrien,7-Jun,245lb,153,17,14,1.7,3.6,0.474,0,0,0,1.7,3.6,0.476,0.474,1.2,1.9,0.628,1.4,2.9,4.3,0.7,0.3,0.5,0.6,1.7,4.6
26,Arron Afflalo,5-Jun,210lb,668,507,28.6,4.2,9.3,0.451,1.2,3,0.383,3,6.2,0.484,0.514,2,2.4,0.823,0.5,2.6,3,1.9,0.5,0.2,1.2,2,11.5
27,Maurice Ager,5-Jun,202lb,82,4,6.2,0.8,2.3,0.339,0.1,0.5,0.25,0.6,1.8,0.366,0.368,0.4,0.6,0.566,0.1,0.5,0.6,0.2,0.1,0.1,0.4,0.8,2.1
28,Mark Aguirre,6-Jun,232lb,923,639,30,7.8,16.1,0.484,0.4,1.4,0.312,7.4,14.7,0.5,0.498,4,5.4,0.741,1.8,3.1,5,3.1,0.7,0.3,2.5,2.8,20
29,Blake Ahearn,2-Jun,190lb,19,0,11.9,1.1,4.1,0.273,0.7,2.5,0.298,0.4,1.6,0.233,0.364,1.7,1.7,0.97,0.1,1.1,1.2,1.2,0.4,0,1.2,1.4,4.6
30,Danny Ainge,4-Jun,175lb,1042,508,26.6,4.5,9.5,0.469,1,2.5,0.378,3.5,7,0.502,0.519,1.6,1.9,0.846,0.7,2,2.7,4,1.1,0.1,1.5,2.4,11.5
31,Matthew Aitch,7-Jun,230lb,45,,14.2,2.2,5.5,0.405,0,0,0,2.2,5.4,0.408,0.405,1.2,1.7,0.675,,,3.6,0.4,,,0.8,1.5,5.6
32,Alexis Ajinca,2-Jul,248lb,265,62,13.1,2.2,4.3,0.502,0,0.1,0.308,2.1,4.2,0.509,0.507,0.9,1.1,0.807,1.2,2.7,3.8,0.5,0.3,0.6,0.8,2.3,5.3
33,Henry Akin,10-Jun,225lb,88,,8.4,1.5,4.2,0.35,0,1,0,1.5,4.2,0.352,0.35,0.5,0.8,0.676,0,2,2.1,0.5,,,2,1.5,3.5
34,Josh Akognon,11-May,185lb,3,0,3,0.7,1.3,0.5,0.3,0.7,0.5,0.3,0.7,0.5,0.625,0,0,,0,0.3,0.3,0.3,0,0,0,1,1.7
35,Solomon Alabi,1-Jul,251lb,26,0,7,0.6,2,0.314,0,0,,0.6,2,0.314,0.314,0.3,0.4,0.7,0.8,1.5,2.3,0.2,0.2,0.4,0.3,0.6,1.5
36,Mark Alarie,8-Jun,217lb,325,41,16.9,3.2,6.7,0.475,0.1,0.4,0.252,3.1,6.3,0.49,0.483,1,1.3,0.775,1.3,2.1,3.4,1.1,0.4,0.3,1,2.2,7.5
37,Gary Alcorn,9-Jun,225lb,78,,10.8,1.3,4.5,0.293,,,,1.3,4.5,0.293,0.293,0.7,1.2,0.598,,,4.2,0.3,,,,2.2,3.3
38,Furkan Aldemir,10-Jun,240lb,41,9,13.2,1,1.9,0.513,0,0.1,0,1,1.8,0.548,0.513,0.3,0.7,0.481,1.9,2.4,4.3,0.7,0.4,0.4,0.4,2.3,2.3
39,Cole Aldrich,11-Jun,250lb,278,23,11.1,1.5,2.8,0.534,0,0,,1.5,2.8,0.534,0.534,0.6,0.8,0.751,1.1,2.7,3.8,0.6,0.4,0.8,0.7,1.6,3.6
40,LaMarcus Aldridge,11-Jun,260lb,743,702,34.9,7.8,16,0.487,0.1,0.3,0.275,7.7,15.7,0.491,0.49,3.5,4.3,0.802,2.6,5.7,8.3,1.9,0.8,1,1.6,2.5,19.2
41,Chuck Aleksinas,11-Jun,260lb,74,4,15.1,2.2,4.6,0.478,0,0,0,2.2,4.5,0.479,0.478,0.7,1,0.733,1.2,2.5,3.6,0.5,0.2,0.2,1,2.3,5.1
42,Cliff Alexander,8-Jun,245lb,8,0,4.5,0.6,1.3,0.5,0,0,,0.6,1.3,0.5,0.5,0,0,,0.3,0.5,0.8,0,0.1,0.3,0.1,0.1,1.3
43,Cory Alexander,1-Jun,185lb,307,35,15.8,1.9,4.9,0.389,0.8,2.2,0.354,1.1,2.7,0.417,0.468,0.9,1.1,0.756,0.3,1.3,1.6,2.7,0.9,0.1,1.5,1.7,5.5
44,Courtney Alexander,5-Jun,205lb,187,59,21.7,3.5,8.3,0.422,0.2,0.6,0.339,3.3,7.7,0.429,0.435,1.8,2.2,0.813,0.7,1.5,2.2,1.2,0.6,0.1,1.1,2,9
45,Gary Alexander,7-Jun,240lb,11,0,5,0.7,1.3,0.571,0,0,,0.7,1.3,0.571,0.571,0.3,0.8,0.333,0.6,0.7,1.4,0.2,0.3,0,0.7,0.9,1.7
46,Joe Alexander,8-Jun,230lb,67,0,11.1,1.5,3.7,0.41,0.2,0.7,0.34,1.3,3,0.426,0.442,0.9,1.3,0.698,0.7,1.1,1.8,0.7,0.2,0.4,0.8,1.7,4.2
47,Victor Alexander,9-Jun,265lb,286,155,20.1,3.8,7.4,0.518,0.1,0.2,0.286,3.8,7.2,0.525,0.522,1.1,1.8,0.634,1.6,3.3,4.8,0.9,0.5,0.6,1.3,2.5,8.9
