ID,NAME,HEIGHT,WEIGHT,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1007,Leon Douglas,10-Jun,230lb,456,17,22.2,3,6.1,0.495,0,0,0,3,6.1,0.496,0.495,1.8,3,0.601,2.3,4.2,6.5,1.1,0.5,0.7,1.8,3.6,7.9
1008,Sherman Douglas,Jun-00,180lb,765,482,27.6,4.4,9,0.484,0.2,0.8,0.267,4.2,8.2,0.504,0.495,2.1,3.1,0.678,0.7,1.5,2.2,5.9,1,0.1,2.3,2.1,11
1009,Toney Douglas,2-Jun,195lb,373,65,19.2,2.8,7,0.406,1.2,3.3,0.36,1.7,3.7,0.446,0.49,1,1.2,0.825,0.5,1.7,2.2,2.2,0.9,0.1,1,1.9,7.8
1010,Chris Douglas-Roberts,7-Jun,200lb,222,61,19.7,2.6,5.9,0.439,0.4,1.1,0.329,2.2,4.7,0.465,0.471,1.5,1.8,0.831,0.4,1.8,2.1,1.1,0.6,0.2,0.9,1.3,7.1
1011,Sonny Dove,7-Jun,198lb,222,,22.4,4.5,9.8,0.457,0,0.2,0.222,4.5,9.7,0.46,0.459,2.1,3.2,0.647,3,4.4,6,1,,,2.6,3.1,11.1
1012,Jerry Dover,7-May,155lb,4,,3.3,0.8,2.3,0.333,0.5,1.3,0.4,0.3,1,0.25,0.444,0,0,,0,0,0,0.3,,,0,0.8,2
1013,Zabian Dowdell,3-Jun,191lb,24,0,12.2,2.1,5.2,0.408,0.1,0.4,0.3,2,4.8,0.417,0.42,0.7,0.7,0.941,0.2,0.6,0.8,2.1,0.8,0.1,1.2,1.3,5
1014,Bill Downey,6-Jun,210lb,3,,,0,0.7,0,,,,0,0.7,0,0,0,0,,,,,0,,,,0,0
1015,Steve Downing,8-Jun,225lb,27,,5.4,0.8,2.4,0.318,,,,0.8,2.4,0.318,0.318,0.8,1.5,0.55,0.5,1,1.5,0.4,0.2,0,,1.2,2.4
1016,Danny Doyle,8-Jun,200lb,4,,6.3,1.5,3,0.5,,,,1.5,3,0.5,0.5,1,1.3,0.8,,,2,0.8,,,,1,4
1017,Terry Dozier,9-Jun,210lb,9,0,10.2,1,3,0.333,0,0.1,0,1,2.9,0.346,0.333,0.4,0.9,0.5,0.8,0.9,1.7,0.3,0.7,0.2,0.8,1.1,2.4
1018,Goran Dragic,3-Jun,190lb,591,355,27,4.7,9.9,0.47,1,2.9,0.357,3.6,7.1,0.515,0.521,2.2,3,0.751,0.7,2.1,2.8,4.7,1,0.2,2.2,2.3,12.6
1019,Zoran Dragic,5-Jun,200lb,16,1,4.7,0.7,1.9,0.367,0.2,0.9,0.214,0.5,1,0.5,0.417,0.2,0.3,0.6,0.3,0.2,0.5,0.3,0.1,0,0.3,0.4,1.8
