ID,NAME,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
547,Greg Monroe,65,34.2,5.3,9.8,0.543,5.2,9.3,0.558,0.1,0.5,0.273,3.7,5.5,0.677,8.2,3.2,1.5,1.5,2.9,1.3,14.5
548,Greg Ostertag,127,16.1,3.1,5.6,0.55,3.3,6,0.56,0,0,0,1.5,2.5,0.604,6.1,0.3,0.3,2,1.4,2.1,7.6
549,Greg Smith,49,13.8,1.1,2.7,0.391,0.9,2.5,0.371,0.1,0.2,0.667,0.2,0.3,0.688,1.7,0.2,0.3,0.3,0.4,1.2,2.5
550,Greg Smith,49,13.8,1.1,2.7,0.391,0.9,2.5,0.371,0.1,0.2,0.667,0.2,0.3,0.688,1.7,0.2,0.3,0.3,0.4,1.2,2.5
551,Greg Smith,49,13.8,1.1,2.7,0.391,0.9,2.5,0.371,0.1,0.2,0.667,0.2,0.3,0.688,1.7,0.2,0.3,0.3,0.4,1.2,2.5
552,Greg Smith,121,21.3,2.9,6.9,0.424,2.5,5.6,0.442,0.5,1.3,0.35,2.3,3.2,0.721,4.4,1.1,0.5,0.4,1.8,2.3,8.7
553,Greg Smith,121,21.3,2.9,6.9,0.424,2.5,5.6,0.442,0.5,1.3,0.35,2.3,3.2,0.721,4.4,1.1,0.5,0.4,1.8,2.3,8.7
554,Greg Smith,121,21.3,2.9,6.9,0.424,2.5,5.6,0.442,0.5,1.3,0.35,2.3,3.2,0.721,4.4,1.1,0.5,0.4,1.8,2.3,8.7
555,Greg Smith,64,29,4.5,7.8,0.575,4.5,7.8,0.576,0,0,0,2.7,4.7,0.564,6.9,1.5,1,1.2,2,2.8,11.6
556,Greg Smith,64,29,4.5,7.8,0.575,4.5,7.8,0.576,0,0,0,2.7,4.7,0.564,6.9,1.5,1,1.2,2,2.8,11.6
557,Greg Smith,64,29,4.5,7.8,0.575,4.5,7.8,0.576,0,0,0,2.7,4.7,0.564,6.9,1.5,1,1.2,2,2.8,11.6
558,Greg Sutton,28,33.4,7.6,20.1,0.379,4.7,11.2,0.419,3,9,0.331,3.7,5.6,0.656,4.3,3.2,1.6,0.5,3.9,3.7,21.9
559,Greivis Vasquez,136,33.9,5.5,13,0.425,3.8,7.9,0.487,1.7,5.1,0.329,3.2,3.9,0.828,4.8,5.7,1.4,0.3,3.5,0.5,16
